P0C8G7	Pomacea canaliculata	Metazoa	286	30
O59896	Pycnoporus cinnabarinus	Fungi	518	21
Q6UX39	Homo sapiens	Metazoa	209	16
Q6Z232	Oryza sativa subsp. japonica	Viridiplantae	146	42
O75462	Homo sapiens	Metazoa	422	37
Q43413	Capsicum annuum	Viridiplantae	75	27
Q99935	Homo sapiens	Metazoa	248	21
Q62598	Rattus norvegicus	Metazoa	687	17
P20826	Mus musculus	Metazoa	273	25
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18
Q9PVW8	Silurus asotus	Metazoa	308	23
Q9U943	Locusta migratoria	Metazoa	3380	21
P05117	Solanum lycopersicum	Viridiplantae	457	24
Q99013	Pseudopleuronectes americanus	Metazoa	82	23
P01174	Rattus norvegicus	Metazoa	137	19
P21956	Mus musculus	Metazoa	463	22
Q15762	Homo sapiens	Metazoa	336	18
O35310	Mus musculus	Metazoa	311	20
P30438	Felis catus	Metazoa	92	22
Q8WWA0	Homo sapiens	Metazoa	313	18
P11654	Rattus norvegicus	Metazoa	1886	25
Q86YL7	Homo sapiens	Metazoa	162	22
P10562	Canavalia gladiata	Viridiplantae	445	26
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24
P79073	Hypocrea jecorina	Fungi	86	15
Q96PL1	Homo sapiens	Metazoa	93	21
P83508	Cavia porcellus	Metazoa	170	16
P05160	Homo sapiens	Metazoa	661	20
Q8T0Y7	Aplysia californica	Metazoa	141	26
P09791	Trypanosoma brucei brucei	Other	129	27
A0A482A9N4	Talaromyces verruculosus	Fungi	328	21
Q16627	Homo sapiens	Metazoa	93	19
P48765	Bos taurus	Metazoa	970	32
Q8TDQ1	Homo sapiens	Metazoa	290	19
Q9NQ34	Homo sapiens	Metazoa	198	33
O18998	Oryctolagus cuniculus	Metazoa	281	21
P83234	Ophiophagus hannah	Metazoa	190	20
P09486	Homo sapiens	Metazoa	303	17
A7VN15	Protobothrops flavoviridis	Metazoa	79	19
P28088	Bos taurus	Metazoa	441	26
P16882	Mus musculus	Metazoa	650	24
P38574	Bos taurus	Metazoa	287	18
I1SB12	Microdochium nivale	Fungi	495	22
Q27085	Tachypleus tridentatus	Metazoa	418	24
A0A1S6EK92	Moringa oleifera	Viridiplantae	79	20
P07602	Homo sapiens	Metazoa	524	16
P81058	Penaeus vannamei	Metazoa	82	19
Q8WMP9	Bos taurus	Metazoa	407	29
Q9TT95	Sus scrofa	Metazoa	120	22
Q6UWI4	Homo sapiens	Metazoa	295	33
Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22
P04119	Sus scrofa	Metazoa	178	18
O01949	Aedes aegypti	Metazoa	273	19
Q9Y6C2	Homo sapiens	Metazoa	1016	21
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24
P21570	Mus musculus	Metazoa	145	24
P01165	Sus scrofa	Metazoa	207	22
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
P16150	Homo sapiens	Metazoa	400	19
P04062	Homo sapiens	Metazoa	536	39
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18
P60153	Homo sapiens	Metazoa	205	26
Q28173	Bos taurus	Metazoa	416	22
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18
P28825	Mus musculus	Metazoa	747	20
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
P55083	Homo sapiens	Metazoa	255	21
Q8TD06	Homo sapiens	Metazoa	166	21
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20
P14925	Rattus norvegicus	Metazoa	976	25
Q556R7	Dictyostelium discoideum	Other	303	24
P29007	Bombina orientalis	Metazoa	155	31
O75629	Homo sapiens	Metazoa	220	31
Q29W25	Crocus sativus	Viridiplantae	168	26
P16144	Homo sapiens	Metazoa	1822	27
P25236	Rattus norvegicus	Metazoa	385	19
Q92765	Homo sapiens	Metazoa	325	32
P27919	Avena sativa	Viridiplantae	214	28
Q00945	Lymnaea stagnalis	Metazoa	155	26
O61668	Mesobuthus martensii	Metazoa	88	18
P69241	Raphanus sativus	Viridiplantae	80	29
Q86LE5	Rhipicephalus microplus	Metazoa	110	20
P61916	Homo sapiens	Metazoa	151	19
P11919	Manduca sexta	Metazoa	88	26
Q8TC27	Homo sapiens	Metazoa	787	16
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26
Q8WQK0	Cotesia rubecula	Metazoa	65	23
P07439	Megabalanus rosa	Metazoa	162	24
H6U1I8	Tanacetum cinerariifolium	Viridiplantae	365	27
P28798	Mus musculus	Metazoa	589	17
G3MYZ3	Bos taurus	Metazoa	604	21
Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	26
P25404	Mirabilis jalapa	Viridiplantae	63	27
Q08481	Mus musculus	Metazoa	727	17
P15516	Homo sapiens	Metazoa	51	19
P04217	Homo sapiens	Metazoa	495	21
Q8S2W4	Arabidopsis thaliana	Viridiplantae	61	22
P04844	Homo sapiens	Metazoa	631	22
P07897	Rattus norvegicus	Metazoa	2124	19
P02790	Homo sapiens	Metazoa	462	23
F1AWB0	Vaejovis mexicanus	Metazoa	82	22
P03971	Homo sapiens	Metazoa	560	24
P01038	Gallus gallus	Metazoa	139	23
Q6UXK5	Homo sapiens	Metazoa	716	25
P07507	Bos taurus	Metazoa	103	19
Q10E50	Oryza sativa subsp. japonica	Viridiplantae	163	43
P55057	Oryctolagus cuniculus	Metazoa	124	27
P12872	Homo sapiens	Metazoa	115	25
Q8NBI3	Homo sapiens	Metazoa	349	25
P18417	Catharanthus roseus	Viridiplantae	352	31
P32004	Homo sapiens	Metazoa	1257	19
Q12546	Aspergillus ficuum	Fungi	614	22
Q9P2K2	Homo sapiens	Metazoa	825	27
P21814	Ovis aries	Metazoa	429	25
Q5UCC4	Homo sapiens	Metazoa	262	25
P22894	Homo sapiens	Metazoa	467	20
P20507	Chlamydomonas reinhardtii	Viridiplantae	377	20
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22
P56722	Bos taurus	Metazoa	979	34
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22
Q07654	Homo sapiens	Metazoa	80	21
C0HL38	Trichonephila clavata	Metazoa	60	19
Q8N126	Homo sapiens	Metazoa	398	24
P20462	Notamacropus eugenii	Metazoa	176	18
Q6UWJ8	Homo sapiens	Metazoa	174	29
P07994	Bos taurus	Metazoa	360	17
Q9U8D1	Mesobuthus martensii	Metazoa	56	28
P54900	Rattus norvegicus	Metazoa	215	29
P93484	Pisum sativum	Viridiplantae	623	22
P36980	Homo sapiens	Metazoa	270	18
P15196	Oryctolagus cuniculus	Metazoa	398	31
Q7KRU8	Drosophila melanogaster	Metazoa	205	19
P01579	Homo sapiens	Metazoa	166	23
O97939	Sus scrofa	Metazoa	1142	38
Q8N6C8	Homo sapiens	Metazoa	439	23
O60602	Homo sapiens	Metazoa	858	20
Q9H5V8	Homo sapiens	Metazoa	836	29
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20
Q0P569	Bos taurus	Metazoa	474	24
P08541	Rattus norvegicus	Metazoa	530	23
Q28143	Bos taurus	Metazoa	456	35
O64411	Zea mays	Viridiplantae	500	28
P52823	Homo sapiens	Metazoa	247	17
P05090	Homo sapiens	Metazoa	189	20
Q9ERQ6	Rattus norvegicus	Metazoa	571	30
P26842	Homo sapiens	Metazoa	260	19
P0DPU3	Scolopendra dehaani	Metazoa	577	25
Q9Y5Q6	Homo sapiens	Metazoa	135	22
P31836	Bos taurus	Metazoa	853	19
P61312	Rattus norvegicus	Metazoa	146	25
P20333	Homo sapiens	Metazoa	461	22
Q945U0	Phytophthora sojae	Other	257	28
Q90W22	Aquarana catesbeiana	Metazoa	114	24
Q4V645	Drosophila melanogaster	Metazoa	108	29
Q42502	Solanum tuberosum	Viridiplantae	386	23
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51
Q63191	Rattus norvegicus	Metazoa	1216	21
P20362	Paralichthys olivaceus	Metazoa	231	24
Q9TVX3	Mesobuthus martensii	Metazoa	61	28
O95157	Homo sapiens	Metazoa	252	22
Q9UAH3	Pinctada fucata	Metazoa	129	23
O55038	Mus musculus	Metazoa	109	21
Q96F46	Homo sapiens	Metazoa	866	32
P14217	Chlamydomonas reinhardtii	Viridiplantae	647	21
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	20
P48819	Sus scrofa	Metazoa	459	19
Q27270	Tenebrio molitor	Metazoa	96	18
P19320	Homo sapiens	Metazoa	739	24
Q63617	Rattus norvegicus	Metazoa	999	32
B0JFB8	Antheraea mylitta	Metazoa	105	19
P0C1X6	Tityus discrepans	Metazoa	62	26
Q5D710	Scylla serrata	Metazoa	126	24
Q9NPG1	Homo sapiens	Metazoa	666	22
Q9GQV7	Aedes aegypti	Metazoa	128	22
Q9SU40	Arabidopsis thaliana	Viridiplantae	587	20
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20
Q969J5	Homo sapiens	Metazoa	263	21
Q8TCT8	Homo sapiens	Metazoa	520	25
P80686	Tenebrio molitor	Metazoa	211	16
Q07092	Homo sapiens	Metazoa	1604	21
P29241	Aplysia californica	Metazoa	282	24
P97710	Rattus norvegicus	Metazoa	509	31
P42705	Canis lupus familiaris	Metazoa	352	23
Q84V39	Olea europaea	Viridiplantae	123	21
Q86IV5	Dictyostelium discoideum	Other	258	21
P04639	Rattus norvegicus	Metazoa	259	18
Q9H293	Homo sapiens	Metazoa	177	32
Q86SC0	Oryctes rhinoceros	Metazoa	66	26
Q6GU94	Centruroides limpidus	Metazoa	56	24
Q8NBK3	Homo sapiens	Metazoa	374	33
P13204	Bos taurus	Metazoa	129	26
P02779	Oryctolagus cuniculus	Metazoa	91	21
P0DKU2	Pandinus imperator	Metazoa	145	15
B9A8D7	Crassostrea virginica	Metazoa	85	18
P31358	Homo sapiens	Metazoa	61	24
Q99944	Homo sapiens	Metazoa	293	25
Q8NBJ9	Homo sapiens	Metazoa	832	18
Q13433	Homo sapiens	Metazoa	755	28
P14214	Tachypleus tridentatus	Metazoa	77	23
P80060	Locusta migratoria	Metazoa	92	19
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24
Q9H6E4	Homo sapiens	Metazoa	229	22
O96059	Bombyx mori	Metazoa	66	24
P10764	Ovis aries	Metazoa	179	24
P35777	Solenopsis invicta	Metazoa	137	19
P86929	Metaphire guillelmi	Metazoa	73	14
Q42656	Coffea arabica	Viridiplantae	378	15
P23515	Homo sapiens	Metazoa	440	24
P07204	Homo sapiens	Metazoa	575	18
P08375	Sarcophaga peregrina	Metazoa	63	23
Q15465	Homo sapiens	Metazoa	462	23
P13725	Homo sapiens	Metazoa	252	25
C9K4X8	Patiria pectinifera	Metazoa	116	29
Q05895	Mus musculus	Metazoa	956	21
Q29486	Felis catus	Metazoa	524	17
P05113	Homo sapiens	Metazoa	134	19
O80323	Pyrus pyrifolia	Viridiplantae	222	22
Q6UX46	Homo sapiens	Metazoa	152	24
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26
P38660	Mesocricetus auratus	Metazoa	439	19
O35806	Rattus norvegicus	Metazoa	1764	35
Q9QYH7	Rattus norvegicus	Metazoa	117	23
C7G3K3	Liocheles australasiae	Metazoa	80	21
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24
P07529	Naganishia albida	Fungi	332	21
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25
O08795	Mus musculus	Metazoa	521	14
Q53NL5	Oryza sativa subsp. japonica	Viridiplantae	290	27
P67876	Aspergillus restrictus	Fungi	176	27
P02230	Chironomus thummi thummi	Metazoa	151	15
P23631	Latrodectus tredecimguttatus	Metazoa	1401	20
P04275	Homo sapiens	Metazoa	2813	22
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26
Q96HE7	Homo sapiens	Metazoa	468	23
P80370	Homo sapiens	Metazoa	383	23
P54660	Dictyostelium discoideum	Other	143	22
Q96AP7	Homo sapiens	Metazoa	390	29
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19
Q8ISL8	Apis mellifera	Metazoa	78	24
P14448	Gallus gallus	Metazoa	741	18
P00533	Homo sapiens	Metazoa	1210	24
Q5GQ85	Argas reflexus	Metazoa	159	16
P45478	Bos taurus	Metazoa	306	27
Q9GSA4	Galleria mellonella	Metazoa	113	19
P05367	Mus musculus	Metazoa	122	19
P09586	Mus musculus	Metazoa	222	31
D3Z9M3	Rattus norvegicus	Metazoa	109	16
P25291	Canis lupus familiaris	Metazoa	509	21
P09619	Homo sapiens	Metazoa	1106	32
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24
Q00193	Oryctolagus cuniculus	Metazoa	540	24
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20
A6XMY0	Hyas araneus	Metazoa	64	25
P43077	Candida albicans	Fungi	562	22
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
O42807	Aspergillus niger	Fungi	281	21
P27797	Homo sapiens	Metazoa	417	17
O88917	Rattus norvegicus	Metazoa	1515	24
P05560	Dromaius novaehollandiae	Metazoa	207	23
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	28
P28039	Homo sapiens	Metazoa	575	23
P20774	Homo sapiens	Metazoa	298	20
Q39649	Cucurbita maxima	Viridiplantae	141	22
Q9H9K5	Homo sapiens	Metazoa	563	26
P81160	Drosophila melanogaster	Metazoa	54	21
Q86WA6	Homo sapiens	Metazoa	291	37
O95813	Homo sapiens	Metazoa	267	17
P22301	Homo sapiens	Metazoa	178	18
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24
O48818	Arabidopsis thaliana	Viridiplantae	257	20
P21128	Homo sapiens	Metazoa	410	18
B8JLQ9	Danio rerio	Metazoa	363	24
P07457	Zoarces americanus	Metazoa	87	22
Q9NYY1	Homo sapiens	Metazoa	176	24
Q95NY5	Anopheles stephensi	Metazoa	315	18
P22388	Rattus norvegicus	Metazoa	202	25
P21837	Dictyostelium discoideum	Other	550	19
Q9Y2I2	Homo sapiens	Metazoa	539	28
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25
Q16552	Homo sapiens	Metazoa	155	23
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19
P02652	Homo sapiens	Metazoa	100	18
P27773	Mus musculus	Metazoa	505	24
P82358	Acanthoscurria gomesiana	Metazoa	84	23
Q9Y251	Homo sapiens	Metazoa	543	35
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
P69770	Conus marmoreus	Metazoa	94	25
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17
Q9BX74	Homo sapiens	Metazoa	207	37
Q9VG55	Drosophila melanogaster	Metazoa	191	24
O46167	Eratigena agrestis	Metazoa	68	17
P10820	Mus musculus	Metazoa	554	20
Q9P246	Homo sapiens	Metazoa	746	14
Q62192	Mus musculus	Metazoa	661	20
Q08334	Homo sapiens	Metazoa	325	19
Q27082	Tachypleus tridentatus	Metazoa	673	19
P01591	Homo sapiens	Metazoa	159	22
Q99372	Rattus norvegicus	Metazoa	870	27
P11150	Homo sapiens	Metazoa	499	22
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17
Q9Y4X3	Homo sapiens	Metazoa	112	24
I3LGZ3	Sus scrofa	Metazoa	81	24
O18330	Apis mellifera	Metazoa	432	19
Q61789	Mus musculus	Metazoa	3330	31
P29320	Homo sapiens	Metazoa	983	20
P10257	Oncorhynchus keta	Metazoa	137	24
P14625	Homo sapiens	Metazoa	803	21
Q8HYA9	Sus scrofa	Metazoa	185	20
Q13007	Homo sapiens	Metazoa	206	51
P52706	Prunus serotina	Viridiplantae	563	27
P42579	Lymnaea stagnalis	Metazoa	100	23
Q27967	Bos taurus	Metazoa	203	23
P14209	Homo sapiens	Metazoa	185	22
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31
Q9Y279	Homo sapiens	Metazoa	399	19
P16933	Schizophyllum commune	Fungi	136	24
Q9VH14	Drosophila melanogaster	Metazoa	210	27
P33577	Petromyzon marinus	Metazoa	119	19
Q6UXH1	Homo sapiens	Metazoa	353	24
Q9GZX6	Homo sapiens	Metazoa	179	33
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23
Q50KB1	Emiliania huxleyi	Other	223	17
O00105	Aspergillus niger	Fungi	564	19
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	33
F1NSM7	Gallus gallus	Metazoa	743	18
Q00657	Rattus norvegicus	Metazoa	2326	29
P08796	Dictyostelium discoideum	Other	514	19
P01033	Homo sapiens	Metazoa	207	23
Q9UKZ9	Homo sapiens	Metazoa	415	23
P45590	Hyalophora cecropia	Metazoa	129	17
Q13231	Homo sapiens	Metazoa	466	21
Q924B5	Rattus norvegicus	Metazoa	250	25
Q08380	Homo sapiens	Metazoa	585	18
Q9NTU7	Homo sapiens	Metazoa	201	27
P84843	Hybomitra bimaculata	Metazoa	76	20
P51654	Homo sapiens	Metazoa	580	24
P20656	Saponaria officinalis	Viridiplantae	299	24
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
P19876	Homo sapiens	Metazoa	107	34
P56201	Oryctolagus cuniculus	Metazoa	797	24
Q8MVA6	Ixodes scapularis	Metazoa	69	23
P80356	Avena sativa	Viridiplantae	220	19
Q9R1T7	Rattus norvegicus	Metazoa	200	20
P56202	Homo sapiens	Metazoa	376	21
P82384	Drosophila melanogaster	Metazoa	92	16
Q6RG02	Penaeus merguiensis	Metazoa	2586	18
A6MEY4	Bungarus fasciatus	Metazoa	145	27
Q29422	Ovis aries	Metazoa	333	20
P02765	Homo sapiens	Metazoa	367	18
P01297	Sus scrofa	Metazoa	121	24
P15018	Homo sapiens	Metazoa	202	22
P18761	Mus musculus	Metazoa	317	17
O62680	Sus scrofa	Metazoa	123	25
P18428	Homo sapiens	Metazoa	481	25
Q03383	Bombyx mori	Metazoa	400	16
Q9UHF4	Homo sapiens	Metazoa	553	29
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	27
Q01638	Homo sapiens	Metazoa	556	18
P18892	Bos taurus	Metazoa	526	26
